fp_backend,channel,h,comparison_basis,ea_scenario_id,ea_scenario_label,ea_dose_metric,ea_dose_value,fp_scenario_count,fp_scenario_ids,fp_dose_metric,ea_delta_trlowz,fp_delta_trlowz_min,fp_delta_trlowz_max,fp_delta_trlowz_positive_count,fp_delta_trlowz_negative_count,ea_within_fp_delta_trlowz_envelope,ea_delta_ipovall,fp_delta_ipovall_min,fp_delta_ipovall_max,fp_delta_ipovall_positive_count,fp_delta_ipovall_negative_count,ea_within_fp_delta_ipovall_envelope,ea_delta_ipovch,fp_delta_ipovch_min,fp_delta_ipovch_max,fp_delta_ipovch_positive_count,fp_delta_ipovch_negative_count,ea_within_fp_delta_ipovch_envelope,ea_delta_rydpc,fp_delta_rydpc_min,fp_delta_rydpc_max,fp_delta_rydpc_positive_count,fp_delta_rydpc_negative_count,ea_within_fp_delta_rydpc_envelope,ea_delta_iginihh,fp_delta_iginihh_min,fp_delta_iginihh_max,fp_delta_iginihh_positive_count,fp_delta_iginihh_negative_count,ea_within_fp_delta_iginihh_envelope,ea_delta_imedrinc,fp_delta_imedrinc_min,fp_delta_imedrinc_max,fp_delta_imedrinc_positive_count,fp_delta_imedrinc_negative_count,ea_within_fp_delta_imedrinc_envelope,notes
fp-r,broad_federal_transfers,2,fp_channel_envelope_by_backend,transfers_total,Broad Federal Transfers,native_shock_unit,1,2,ineq-federal-transfer-relief|ineq-federal-transfer-shock,delta_trlowz,,-0.007321827983507667,0.007321872055019885,1,1,,1.26141375263487e-06,-0.0001023749030569926,0.00010246202265500048,1,1,True,2.20505807896807e-06,-0.00028177243998800394,0.00028224612495100776,1,1,True,,-0.008367894129600373,0.008367629674999932,1,1,,1.11035853401323e-08,-9.63397499109675e-05,9.633659735502897e-05,1,1,True,0.00213490543842627,-0.012490749052901151,0.012486126022096755,1,1,True,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fpexe,broad_federal_transfers,2,fp_channel_envelope_by_backend,transfers_total,Broad Federal Transfers,native_shock_unit,1,2,ineq-federal-transfer-relief|ineq-federal-transfer-shock,delta_trlowz,,-0.007321827999999808,0.00732187200000034,1,1,,1.26141375263487e-06,-0.00010237490000000737,0.00010246203000000009,1,1,True,2.20505807896807e-06,-0.00028177243999999435,0.0002822461300000245,1,1,True,,-0.008367893999999154,0.008367630000000403,1,1,,1.11035853401323e-08,-9.633975000000738e-05,9.63365999999688e-05,1,1,True,0.00213490543842627,-0.01249074900000835,0.012486125999998876,1,1,True,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fp-r,broad_federal_transfers,4,fp_channel_envelope_by_backend,transfers_total,Broad Federal Transfers,native_shock_unit,1,2,ineq-federal-transfer-relief|ineq-federal-transfer-shock,delta_trlowz,,-0.007319779670365456,0.007319947890370937,1,1,,2.13442603658104e-06,-0.00011041869836599105,0.00011052346805601188,1,1,True,3.73834280284858e-06,-0.0002947453974850023,0.000295274641252008,1,1,True,,-0.009097816468802478,0.009097514148400876,1,1,,1.82651988713184e-08,-0.00010224724171498112,0.00010224206382203338,1,1,True,0.00063429280812552,-0.013660827341496429,0.013655448680196969,1,1,True,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fpexe,broad_federal_transfers,4,fp_channel_envelope_by_backend,transfers_total,Broad Federal Transfers,native_shock_unit,1,2,ineq-federal-transfer-relief|ineq-federal-transfer-shock,delta_trlowz,,-0.007319779499999957,0.00731994810000014,1,1,,2.13442603658104e-06,-0.00011041871000000425,0.00011052346999999851,1,1,True,3.73834280284858e-06,-0.0002947454099999913,0.0002952746500000103,1,1,True,,-0.009097816000000591,0.009097514000000473,1,1,,1.82651988713184e-08,-0.00010224724000001961,0.0001022420599999796,1,1,True,0.00063429280812552,-0.013660827999999015,0.013655448999998043,1,1,True,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fp-r,broad_federal_transfers,8,fp_channel_envelope_by_backend,transfers_total,Broad Federal Transfers,native_shock_unit,1,2,ineq-federal-transfer-relief|ineq-federal-transfer-shock,delta_trlowz,,-0.007315648718901446,0.007316110544039578,1,1,,1.94432437500893e-06,-0.0001152414823809983,0.00011536345162499462,1,1,True,3.28185861928299e-06,-0.00030008543955298284,0.00030065605084600433,1,1,True,,-0.010167425610198677,0.010167280194199435,1,1,,1.19277287585989e-08,-0.00010619785939902648,0.00010618866972500474,1,1,True,-0.00566217833404216,-0.015122148839097349,0.015115832274005925,1,1,True,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fpexe,broad_federal_transfers,8,fp_channel_envelope_by_backend,transfers_total,Broad Federal Transfers,native_shock_unit,1,2,ineq-federal-transfer-relief|ineq-federal-transfer-shock,delta_trlowz,,-0.007315648500000105,0.007316110599999703,1,1,,1.94432437500893e-06,-0.00011524149000000095,0.00011536346000000364,1,1,True,3.28185861928299e-06,-0.00030008545000001496,0.0003006560699999883,1,1,True,,-0.010167424999998786,0.010167280000001,1,1,,1.19277287585989e-08,-0.00010619785999999021,0.00010618867000000698,1,1,True,-0.00566217833404216,-0.015122149000006857,0.01511583299999586,1,1,True,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fp-r,transfer_composite,2,fp_channel_envelope_by_backend,transfer_composite_fp,Transfer Composite (FP-aligned),native_shock_unit,1,3,ineq-transfer-composite-large|ineq-transfer-composite-medium|ineq-transfer-composite-small,delta_trlowz,,0.015411813098709981,0.027575186421288755,3,0,,7.72728222052953e-06,-0.0002895441832729967,-0.00016178845709699519,0,3,False,1.132081577613e-05,-0.0008179135560089923,-0.00045739690398299837,0,3,False,,-0.01141447968899989,-0.006390593455000371,0,3,,2.5413900841501e-08,0.0001590068426310376,0.0002846471218690416,3,0,False,-0.00906443141149485,-0.018080792129310908,-0.01012343145580985,0,3,False,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fpexe,transfer_composite,2,fp_channel_envelope_by_backend,transfer_composite_fp,Transfer Composite (FP-aligned),native_shock_unit,1,3,ineq-transfer-composite-large|ineq-transfer-composite-medium|ineq-transfer-composite-small,delta_trlowz,,0.07626276060000015,0.22981443120000034,3,0,,7.72728222052953e-06,-0.004189730690000004,-0.001375977260000008,0,3,False,1.132081577613e-05,-0.010570704089999994,-0.003514534399999991,0,3,False,,0.06837572400000091,0.2245223840000019,3,0,,2.5413900841501e-08,0.0009672129599999635,0.0029090661499999726,3,0,False,-0.00906443141149485,0.10025592899999936,0.325919399,3,0,False,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fp-r,transfer_composite,4,fp_channel_envelope_by_backend,transfer_composite_fp,Transfer Composite (FP-aligned),native_shock_unit,1,3,ineq-transfer-composite-large|ineq-transfer-composite-medium|ineq-transfer-composite-small,delta_trlowz,,0.015525755720184886,0.027779353765767567,3,0,,1.56694916998862e-05,-0.0002448536664529932,-0.0001366946399969926,0,3,False,2.37303748333883e-05,-0.0007317730984819915,-0.0004089876702889905,0,3,False,,-0.014177931414000255,-0.007941156190600651,0,3,,5.59277940169927e-08,0.00014218476205901664,0.0002546672616849932,3,0,False,-0.0231354831805237,-0.023092154189995995,-0.01293482508908994,0,3,False,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fpexe,transfer_composite,4,fp_channel_envelope_by_backend,transfer_composite_fp,Transfer Composite (FP-aligned),native_shock_unit,1,3,ineq-transfer-composite-large|ineq-transfer-composite-medium|ineq-transfer-composite-small,delta_trlowz,,0.0753402112999999,0.22639704319999998,3,0,,1.56694916998862e-05,-0.0043392435499999965,-0.0014250536599999947,0,3,False,2.37303748333883e-05,-0.010729739709999991,-0.003569876810000011,0,3,False,,0.07299601500000108,0.2392720720000021,3,0,,5.59277940169927e-08,0.001002352849999999,0.003017140020000031,3,0,False,-0.0231354831805237,0.10781326299999705,0.3499845270000037,3,0,False,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fp-r,transfer_composite,8,fp_channel_envelope_by_backend,transfer_composite_fp,Transfer Composite (FP-aligned),native_shock_unit,1,3,ineq-transfer-composite-large|ineq-transfer-composite-medium|ineq-transfer-composite-small,delta_trlowz,,0.01573068823434154,0.02814686371355446,3,0,,2.25742058091145e-05,-0.00021778514156700624,-0.00012150797655700873,0,3,False,3.34154363375894e-05,-0.0006748211981199848,-0.000377017224167997,0,3,False,,-0.017869395215200257,-0.01001376823339939,0,3,,7.45684251294247e-08,0.00013247662482296363,0.0002373619160229712,3,0,False,-0.0458093420707808,-0.028809896556794,-0.016143997906993945,0,3,False,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fpexe,transfer_composite,8,fp_channel_envelope_by_backend,transfer_composite_fp,Transfer Composite (FP-aligned),native_shock_unit,1,3,ineq-transfer-composite-large|ineq-transfer-composite-medium|ineq-transfer-composite-small,delta_trlowz,,0.07377214129999965,0.2205145824999999,3,0,,2.25742058091145e-05,-0.0043616665899999935,-0.0014358003800000047,0,3,False,3.34154363375894e-05,-0.010575442250000011,-0.0035277189300000067,0,3,False,,0.07915769399999917,0.25887431800000016,3,0,,7.45684251294247e-08,0.0010112416799999968,0.0030347420899999866,3,0,False,-0.0458093420707808,0.11598009499999762,0.37577384700000493,3,0,False,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fp-r,ui,2,fp_channel_envelope_by_backend,ui_benefits,UI Benefits,native_shock_unit,1,4,ineq-ui-large|ineq-ui-relief|ineq-ui-shock|ineq-ui-small,delta_trlowz,,-0.0004907700907361701,0.0005797412386745471,3,1,,5.17664072341427e-06,-1.1554993482001952e-05,9.782517790005163e-06,1,3,True,7.19199405965614e-06,-2.945993317901574e-05,2.4942808326988697e-05,1,3,True,,-0.0005616140522004542,0.0006634264313003513,3,1,,5.42920399389045e-08,-6.4643015549870064e-06,7.636183445014488e-06,3,1,True,0.0059617854970296,-0.0008384034200048518,0.0009903691448016616,3,1,False,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fpexe,ui,2,fp_channel_envelope_by_backend,ui_benefits,UI Benefits,native_shock_unit,1,4,ineq-ui-large|ineq-ui-relief|ineq-ui-shock|ineq-ui-small,delta_trlowz,,-0.021285432799999615,0.22880124680000025,3,1,,5.17664072341427e-06,-0.004351181110000005,0.0004234644799999965,1,3,True,7.19199405965614e-06,-0.010931046619999996,0.0010814284100000016,1,3,True,,-0.024335305999999335,0.2596864880000016,3,1,,5.42920399389045e-08,-0.0002793746299999955,0.0029243022799999574,3,1,True,0.0059617854970296,-0.03623955700000181,0.3764138379999906,3,1,True,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fp-r,ui,4,fp_channel_envelope_by_backend,ui_benefits,UI Benefits,native_shock_unit,1,4,ineq-ui-large|ineq-ui-relief|ineq-ui-shock|ineq-ui-small,delta_trlowz,,-0.0004822014280376763,0.000569616330887257,3,1,,9.84587991941564e-06,-1.2050753614989418e-05,1.020232045000069e-05,1,3,True,1.30998141756821e-05,-3.0063547774988875e-05,2.5454118005002746e-05,1,3,True,,-0.0006015091490993996,0.0007105507936984168,3,1,,8.67268656206855e-08,-6.754120949969966e-06,7.978496505023358e-06,3,1,True,-0.000343702883503663,-0.0009035741099978623,0.0010673465257013959,3,1,True,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fpexe,ui,4,fp_channel_envelope_by_backend,ui_benefits,UI Benefits,native_shock_unit,1,4,ineq-ui-large|ineq-ui-relief|ineq-ui-shock|ineq-ui-small,delta_trlowz,,-0.020914831799999867,0.22459344020000005,3,1,,9.84587991941564e-06,-0.00452166708,0.00044160853999999916,1,3,True,1.30998141756821e-05,-0.011117923279999997,0.001103606360000009,1,3,True,,-0.026051887999997803,0.2766745129999997,3,1,,8.67268656206855e-08,-0.00029185964000000286,0.003045792150000004,3,1,True,-0.000343702883503663,-0.03904707399999552,0.4041116970000047,3,1,True,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fp-r,ui,8,fp_channel_envelope_by_backend,ui_benefits,UI Benefits,native_shock_unit,1,4,ineq-ui-large|ineq-ui-relief|ineq-ui-shock|ineq-ui-small,delta_trlowz,,-0.00046729695717306896,0.000552006404548333,3,1,,7.11598068384924e-06,-1.2152026863998522e-05,1.0288174214001522e-05,1,3,True,6.9793745396557e-06,-2.969126445898085e-05,2.5139175796023983e-05,1,3,True,,-0.0006548882553012447,0.0007736014553003656,3,1,,-1.69416711880867e-08,-6.81160052401486e-06,8.046303157982493e-06,3,1,True,-0.0312460818803908,-0.0009744882455038351,0.0011511036301925515,3,1,False,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
fpexe,ui,8,fp_channel_envelope_by_backend,ui_benefits,UI Benefits,native_shock_unit,1,4,ineq-ui-large|ineq-ui-relief|ineq-ui-shock|ineq-ui-small,delta_trlowz,,-0.020269882600000066,0.21727001649999966,3,1,,7.11598068384924e-06,-0.0045428782200000045,0.0004453340100000064,1,3,True,6.9793745396557e-06,-0.010945120410000009,0.0010900014699999905,1,3,True,,-0.02834839200000161,0.29923472899999837,3,1,,-1.69416711880867e-08,-0.0002943443900000342,0.003059301449999996,3,1,True,-0.0312460818803908,-0.042102524000000585,0.4337408399999987,3,1,True,"Backend-specific fp-ineq channel envelope. ea-ineq remains on native shock units, while fp-ineq remains normalized on delta_trlowz."
