"target","candidate","n_windows","candidate_block_size","selected_lag_median","reverse_selected_lag_median","forward_p_median","reverse_p_median","forward_fstat_median","reverse_fstat_median","forward_df1_median","forward_df2_median","forward_sig_share","reverse_sig_share","directionality_gap","coint_rank_share","vecm_regime_share"
"pce_discretionary_idx","fhfa_hpi",6,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","social_security",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","transfer_composite",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","ui_benefits",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","cc_delinquency",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","credit_composite",6,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","equity_wealth_proxy",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","fed_funds",9,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","fhfa_hpi",11,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","revolving_credit",6,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","social_security",27,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","transfer_composite",15,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","transfers_total",18,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","ui_benefits",42,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","cc_delinquency",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","equity_wealth_proxy",18,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","fed_funds",6,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","fhfa_hpi",6,1,1.5,1.5,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","social_security",15,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","transfer_composite",21,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","transfers_total",21,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","ui_benefits",27,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
