"date","target","candidate","model_id","window_start","window_end","rolling_window","n_obs","residual_corr","causality_p","causality_fstat","causality_df1","causality_df2","causality_reverse_p","causality_reverse_fisher","causality_reverse_df","causality_reverse_fstat","granger_sig_threshold","causality_significant","causality_reverse_significant","selected_lag","reverse_selected_lag","n_obs_model","n_test_params","candidate_block_size","beta_coeff","beta_p","coint_method_requested","coint_p","coint_rank","coint_method","coint_selected_lag","coint_alpha","model_regime","model_type","target_alpha","target_t_stat","candidate_alpha","candidate_t_stat","p_val_C_on_T","p_val_T_on_C","var_t_stat","corr_p_value","model_stats_proxy","residual_corr_source","beta_coeff_source","exog_controls_used"
2022-06-30,"pce_essential_idx","transfer_composite","rw120:pce_essential_idx__transfer_composite",2012-07-31,2022-06-30,120,40,-0.679610307430841,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.114970236952284,1.77965303714687e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0436286537855608,2.44907113868501,1.04979265277878,1.10970803932799,NA,NA,NA,2.70404652194267e-06,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-07-31,"pce_essential_idx","transfer_composite","rw120:pce_essential_idx__transfer_composite",2012-08-31,2022-07-31,120,40,-0.679610307430841,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.114970236952284,1.77965303714687e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0436286537855608,2.44907113868501,1.04979265277878,1.10970803932799,NA,NA,NA,2.70404652194267e-06,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-08-31,"pce_essential_idx","transfer_composite","rw120:pce_essential_idx__transfer_composite",2012-09-30,2022-08-31,120,40,-0.679610307430841,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.114970236952284,1.77965303714687e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0436286537855608,2.44907113868501,1.04979265277878,1.10970803932799,NA,NA,NA,2.70404652194267e-06,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-09-30,"pce_essential_idx","transfer_composite","rw120:pce_essential_idx__transfer_composite",2012-10-31,2022-09-30,120,40,-0.68745556892951,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.119364199517057,2.92512288148406e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.047898818242256,2.43791418206468,1.44653949231463,1.40376404700078,NA,NA,NA,1.86273616363339e-06,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-10-31,"pce_essential_idx","transfer_composite","rw120:pce_essential_idx__transfer_composite",2012-11-30,2022-10-31,120,40,-0.68745556892951,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.119364199517057,2.92512288148406e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.047898818242256,2.43791418206468,1.44653949231463,1.40376404700078,NA,NA,NA,1.86273616363339e-06,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-11-30,"pce_essential_idx","transfer_composite","rw120:pce_essential_idx__transfer_composite",2012-12-31,2022-11-30,120,40,-0.68745556892951,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.119364199517057,2.92512288148406e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.047898818242256,2.43791418206468,1.44653949231463,1.40376404700078,NA,NA,NA,1.86273616363339e-06,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-12-31,"pce_essential_idx","transfer_composite","rw120:pce_essential_idx__transfer_composite",2013-01-31,2022-12-31,120,40,-0.690153277366686,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.124377293008013,4.12180709804064e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0497874217609909,2.37274180938236,1.83838486349972,1.70522271810128,NA,NA,NA,1.63432070712741e-06,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2023-01-31,"pce_essential_idx","transfer_composite","rw120:pce_essential_idx__transfer_composite",2013-02-28,2023-01-31,120,40,-0.690153277366686,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.124377293008013,4.12180709804064e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0497874217609909,2.37274180938236,1.83838486349972,1.70522271810128,NA,NA,NA,1.63432070712741e-06,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2023-02-28,"pce_essential_idx","transfer_composite","rw120:pce_essential_idx__transfer_composite",2013-03-31,2023-02-28,120,40,-0.690153277366686,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.124377293008013,4.12180709804064e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0497874217609909,2.37274180938236,1.83838486349972,1.70522271810128,NA,NA,NA,1.63432070712741e-06,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2023-03-31,"pce_essential_idx","transfer_composite","rw120:pce_essential_idx__transfer_composite",2013-04-30,2023-03-31,120,40,-0.685817130031033,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.12965187761551,5.79567451034733e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0458848375804975,2.28092372854673,1.73290185649526,1.67107794347409,NA,NA,NA,2.01541658136205e-06,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
