"date","target","candidate","model_id","window_start","window_end","rolling_window","n_obs","residual_corr","causality_p","causality_fstat","causality_df1","causality_df2","causality_reverse_p","causality_reverse_fisher","causality_reverse_df","causality_reverse_fstat","granger_sig_threshold","causality_significant","causality_reverse_significant","selected_lag","reverse_selected_lag","n_obs_model","n_test_params","candidate_block_size","beta_coeff","beta_p","coint_method_requested","coint_p","coint_rank","coint_method","coint_selected_lag","coint_alpha","model_regime","model_type","target_alpha","target_t_stat","candidate_alpha","candidate_t_stat","p_val_C_on_T","p_val_T_on_C","var_t_stat","corr_p_value","model_stats_proxy","residual_corr_source","beta_coeff_source","exog_controls_used"
2020-12-31,"pce_essential_idx","ui_benefits","rw120:pce_essential_idx__ui_benefits",2011-01-31,2020-12-31,120,40,-0.922627285507094,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.372593822365117,0.14288640609146,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0274005860404569,-1.35353214421404,0.433548762598412,3.23903518233603,NA,NA,NA,1.81327517655221e-16,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-01-31,"pce_essential_idx","ui_benefits","rw120:pce_essential_idx__ui_benefits",2011-02-28,2021-01-31,120,40,-0.922627285507094,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.372593822365117,0.14288640609146,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0274005860404569,-1.35353214421404,0.433548762598412,3.23903518233603,NA,NA,NA,1.81327517655221e-16,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-02-28,"pce_essential_idx","ui_benefits","rw120:pce_essential_idx__ui_benefits",2011-03-31,2021-02-28,120,40,-0.922627285507094,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.372593822365117,0.14288640609146,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0274005860404569,-1.35353214421404,0.433548762598412,3.23903518233603,NA,NA,NA,1.81327517655221e-16,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-06-30,"pce_essential_idx","ui_benefits","rw120:pce_essential_idx__ui_benefits",2011-07-31,2021-06-30,120,40,-0.887309798554522,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.569691524194574,0.0199778896207213,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0194092938123868,-0.852336345940382,0.404110610029876,2.57236751173191,NA,NA,NA,1.17162601024809e-13,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-07-31,"pce_essential_idx","ui_benefits","rw120:pce_essential_idx__ui_benefits",2011-08-31,2021-07-31,120,40,-0.887309798554522,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.569691524194574,0.0199778896207213,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0194092938123868,-0.852336345940382,0.404110610029876,2.57236751173191,NA,NA,NA,1.17162601024809e-13,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-08-31,"pce_essential_idx","ui_benefits","rw120:pce_essential_idx__ui_benefits",2011-09-30,2021-08-31,120,40,-0.887309798554522,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.569691524194574,0.0199778896207213,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0194092938123868,-0.852336345940382,0.404110610029876,2.57236751173191,NA,NA,NA,1.17162601024809e-13,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-09-30,"pce_essential_idx","ui_benefits","rw120:pce_essential_idx__ui_benefits",2011-10-31,2021-09-30,120,40,-0.820446576221311,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.548197019142574,0.0318751561007914,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0281551214848221,-3.94494762677212,0.200002108610874,3.60665625456027,NA,NA,NA,2.88416752390106e-10,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-10-31,"pce_essential_idx","ui_benefits","rw120:pce_essential_idx__ui_benefits",2011-11-30,2021-10-31,120,40,-0.820446576221311,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.548197019142574,0.0318751561007914,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0281551214848221,-3.94494762677212,0.200002108610874,3.60665625456027,NA,NA,NA,2.88416752390106e-10,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-11-30,"pce_essential_idx","ui_benefits","rw120:pce_essential_idx__ui_benefits",2011-12-31,2021-11-30,120,40,-0.820446576221311,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.548197019142574,0.0318751561007914,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0281551214848221,-3.94494762677212,0.200002108610874,3.60665625456027,NA,NA,NA,2.88416752390106e-10,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-12-31,"pce_essential_idx","ui_benefits","rw120:pce_essential_idx__ui_benefits",2012-01-31,2021-12-31,120,40,-0.897922272064916,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.508174270355823,0.0567478592709256,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.030058296781647,2.45486615695069,-0.083141858228343,-0.835718697080241,NA,NA,NA,2.16071525099461e-14,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
