"target","candidate","n_windows","candidate_block_size","selected_lag_median","reverse_selected_lag_median","forward_p_median","reverse_p_median","forward_fstat_median","reverse_fstat_median","forward_df1_median","forward_df2_median","forward_sig_share","reverse_sig_share","directionality_gap","coint_rank_share","vecm_regime_share"
"pce_discretionary_idx","bottom50_wealth_share",4,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","cc_delinquency",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","fed_funds",7,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","fhfa_hpi",5,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","gini_households_q",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","gini_income_fred_q",5,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","poverty_all_q",6,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","poverty_child_q",7,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","snap_persons",5,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","social_security",1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","top10_wealth_share",6,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","transfer_composite",2,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","ui_benefits",1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","wealth_share_gap_top10_bottom50",6,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_discretionary_idx","wealth_share_gap_top1_bottom50",2,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","bottom50_wealth_share",1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","cc_delinquency",2,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
