"date","target","candidate","model_id","window_start","window_end","rolling_window","n_obs","residual_corr","causality_p","causality_fstat","causality_df1","causality_df2","causality_reverse_p","causality_reverse_fisher","causality_reverse_df","causality_reverse_fstat","granger_sig_threshold","causality_significant","causality_reverse_significant","selected_lag","reverse_selected_lag","n_obs_model","n_test_params","candidate_block_size","beta_coeff","beta_p","coint_method_requested","coint_p","coint_rank","coint_method","coint_selected_lag","coint_alpha","model_regime","model_type","target_alpha","target_t_stat","candidate_alpha","candidate_t_stat","p_val_C_on_T","p_val_T_on_C","var_t_stat","corr_p_value","model_stats_proxy","residual_corr_source","beta_coeff_source","exog_controls_used"
2000-03-31,"pce_fcsu_idx","gini_households_q","rw40:pce_fcsu_idx__gini_households_q",1990-06-30,2000-03-31,40,40,0.269226986889777,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,1466625.7727961,5.06439171535739e-10,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.00830065353441911,-2.72368315483858,1.8419460959731e-08,5.08343145252662,NA,NA,NA,0.102148488623671,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2000-06-30,"pce_fcsu_idx","gini_households_q","rw40:pce_fcsu_idx__gini_households_q",1990-09-30,2000-06-30,40,40,0.240262230714342,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,1508202.0186357,1.34031279282148e-09,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.00703115682624916,-1.87939810846631,2.02856881701741e-08,5.19343522832047,NA,NA,NA,0.146228914957972,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2000-09-30,"pce_fcsu_idx","gini_households_q","rw40:pce_fcsu_idx__gini_households_q",1990-12-31,2000-09-30,40,40,0.171621958627337,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,1568757.58545346,2.87764121845994e-09,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0049200559846534,-1.02330271254087,2.55415010550846e-08,5.56171874280151,NA,NA,NA,0.30287992378129,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2000-12-31,"pce_fcsu_idx","gini_households_q","rw40:pce_fcsu_idx__gini_households_q",1991-03-31,2000-12-31,40,40,0.194169370923198,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,1646911.16444292,5.2425229687039e-09,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.00442963462200064,-0.822948779434202,2.61804391149309e-08,6.14710977070711,NA,NA,NA,0.242760566318484,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2001-03-31,"pce_fcsu_idx","gini_households_q","rw40:pce_fcsu_idx__gini_households_q",1991-06-30,2001-03-31,40,40,0.105192064443292,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,1741159.90542878,7.72865904963189e-09,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.00215226347204313,-0.404960179304277,2.8772721540736e-08,7.65187936732494,NA,NA,NA,0.529654441368272,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2019-09-30,"pce_fcsu_idx","gini_households_q","rw40:pce_fcsu_idx__gini_households_q",2009-12-31,2019-09-30,40,40,0.174984589874413,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,4521471.82607164,3.60497410617655e-10,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.01296926477389,-1.18081811904404,1.84709982396352e-08,6.60259023746848,NA,NA,NA,0.293360395092812,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2019-12-31,"pce_fcsu_idx","gini_households_q","rw40:pce_fcsu_idx__gini_households_q",2010-03-31,2019-12-31,40,40,0.179520857473838,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,4834229.33482653,1.7276226420979e-09,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0107519342587587,-1.02482337610538,1.70978946283744e-08,6.38944550866419,NA,NA,NA,0.280826397710771,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2020-03-31,"pce_fcsu_idx","gini_households_q","rw40:pce_fcsu_idx__gini_households_q",2010-06-30,2020-03-31,40,40,0.206385675792027,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,5273628.85578593,3.84468275696638e-09,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0130322293217631,-1.19582852677249,1.67049974445268e-08,5.96121179392997,NA,NA,NA,0.213800173343331,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-12-31,"pce_fcsu_idx","gini_households_q","rw40:pce_fcsu_idx__gini_households_q",2012-03-31,2021-12-31,40,40,0.0236932911865558,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,6622405.09546554,4.29417518065478e-12,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0277800192032715,-1.89868720585471,1.86572335090352e-08,8.18626305789462,NA,NA,NA,0.887715154813912,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-03-31,"pce_fcsu_idx","gini_households_q","rw40:pce_fcsu_idx__gini_households_q",2012-06-30,2022-03-31,40,40,-0.0752018835038033,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,6891440.62077919,1.01572882267749e-11,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0289160162809855,-1.71307411639755,1.88411999814852e-08,7.98104446088079,NA,NA,NA,0.653629249278848,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
