"date","target","candidate","model_id","window_start","window_end","rolling_window","n_obs","residual_corr","causality_p","causality_fstat","causality_df1","causality_df2","causality_reverse_p","causality_reverse_fisher","causality_reverse_df","causality_reverse_fstat","granger_sig_threshold","causality_significant","causality_reverse_significant","selected_lag","reverse_selected_lag","n_obs_model","n_test_params","candidate_block_size","beta_coeff","beta_p","coint_method_requested","coint_p","coint_rank","coint_method","coint_selected_lag","coint_alpha","model_regime","model_type","target_alpha","target_t_stat","candidate_alpha","candidate_t_stat","p_val_C_on_T","p_val_T_on_C","var_t_stat","corr_p_value","model_stats_proxy","residual_corr_source","beta_coeff_source","exog_controls_used"
2000-12-31,"pce_fcsu_idx","transfer_composite","rw40:pce_fcsu_idx__transfer_composite",1991-03-31,2000-12-31,40,40,0.301616100227497,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.675915373443823,3.31409969806835e-31,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0475082729537253,-3.47802860927786,0.0561642310558928,1.24444075520033,NA,NA,NA,0.0657246389096724,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2001-03-31,"pce_fcsu_idx","transfer_composite","rw40:pce_fcsu_idx__transfer_composite",1991-06-30,2001-03-31,40,40,0.351875143566417,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.693174246886001,1.9939409290736e-33,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0518268411953945,-1.43552024154545,0.412001207569063,3.7753085044738,NA,NA,NA,0.0302758982026105,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2021-06-30,"pce_fcsu_idx","transfer_composite","rw40:pce_fcsu_idx__transfer_composite",2011-09-30,2021-06-30,40,40,-0.398016266065307,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.129033370933,2.33238888671447e-09,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0214304730240264,1.10227404911606,3.09066440204191,2.64735743016745,NA,NA,NA,0.0133317160911053,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-09-30,"pce_fcsu_idx","transfer_composite","rw40:pce_fcsu_idx__transfer_composite",2011-12-31,2021-09-30,40,40,-0.237061953980547,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.133266872634359,1.59363426339931e-09,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0332600111915946,-4.10533978110426,1.35991945834483,2.33024405730379,NA,NA,NA,0.151843073194587,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-12-31,"pce_fcsu_idx","transfer_composite","rw40:pce_fcsu_idx__transfer_composite",2012-03-31,2021-12-31,40,40,-0.298236081689512,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.1372105639982,2.22991888586994e-09,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0153306001450929,-4.2037436443115,0.446863211533402,1.62144275503991,NA,NA,NA,0.0689611340099233,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-03-31,"pce_fcsu_idx","transfer_composite","rw40:pce_fcsu_idx__transfer_composite",2012-06-30,2022-03-31,40,40,-0.492014683011562,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.141742113509224,3.17157090944695e-09,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0440038656622592,3.04171526527099,0.95313108793182,1.0055567030918,NA,NA,NA,0.00170395996118201,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-06-30,"pce_fcsu_idx","transfer_composite","rw40:pce_fcsu_idx__transfer_composite",2012-09-30,2022-06-30,40,40,-0.494803455879931,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.147322722710181,5.4476551859108e-09,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0432135785425157,1.94082891895179,2.85744298101703,2.26082055518271,NA,NA,NA,0.0015884118041162,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-09-30,"pce_fcsu_idx","transfer_composite","rw40:pce_fcsu_idx__transfer_composite",2012-12-31,2022-09-30,40,40,-0.515818860241779,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.153247391359258,1.08203790267222e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0508060197915204,2.53928118483603,2.35707899996543,1.9402663411807,NA,NA,NA,0.000917703822238417,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-12-31,"pce_fcsu_idx","transfer_composite","rw40:pce_fcsu_idx__transfer_composite",2013-03-31,2022-12-31,40,40,-0.517658485436579,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.159969185267318,1.75996354051373e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0506805900455327,2.47346343366585,2.61495565522683,2.12610034836002,NA,NA,NA,0.000873198389299066,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2023-03-31,"pce_fcsu_idx","transfer_composite","rw40:pce_fcsu_idx__transfer_composite",2013-06-30,2023-03-31,40,40,-0.488365633745224,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.167019107256625,2.72052031272171e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0420706431752769,2.06980720861455,2.45755205019892,2.05709555058413,NA,NA,NA,0.00186629125209428,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
