"date","target","candidate","model_id","window_start","window_end","rolling_window","n_obs","residual_corr","causality_p","causality_fstat","causality_df1","causality_df2","causality_reverse_p","causality_reverse_fisher","causality_reverse_df","causality_reverse_fstat","granger_sig_threshold","causality_significant","causality_reverse_significant","selected_lag","reverse_selected_lag","n_obs_model","n_test_params","candidate_block_size","beta_coeff","beta_p","coint_method_requested","coint_p","coint_rank","coint_method","coint_selected_lag","coint_alpha","model_regime","model_type","target_alpha","target_t_stat","candidate_alpha","candidate_t_stat","p_val_C_on_T","p_val_T_on_C","var_t_stat","corr_p_value","model_stats_proxy","residual_corr_source","beta_coeff_source","exog_controls_used"
2012-09-30,"pce_fcsu_idx","wealth_share_gap_top1_bottom50","rw40:pce_fcsu_idx__wealth_share_gap_top1_bottom50",2002-12-31,2012-09-30,40,40,-0.239720192579643,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,16045.6398268662,4.72094308038193e-28,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.157984550358876,-4.31728629675846,-2.13076100141181e-06,-0.254219855452954,NA,NA,NA,0.147168938120314,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2021-03-31,"pce_fcsu_idx","wealth_share_gap_top1_bottom50","rw40:pce_fcsu_idx__wealth_share_gap_top1_bottom50",2011-06-30,2021-03-31,40,40,0.113043494317371,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-28676.1667405947,0.00822285566169313,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0248260378040842,2.24165475504546,-3.32271473509438e-06,-2.81026302534609,NA,NA,NA,0.499205917632314,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-06-30,"pce_fcsu_idx","wealth_share_gap_top1_bottom50","rw40:pce_fcsu_idx__wealth_share_gap_top1_bottom50",2011-09-30,2021-06-30,40,40,0.139006471812863,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-32629.9935223443,0.00294043373396406,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0343844982811944,2.55523246074302,-3.43096027947371e-06,-2.49233726221621,NA,NA,NA,0.405227911826283,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-09-30,"pce_fcsu_idx","wealth_share_gap_top1_bottom50","rw40:pce_fcsu_idx__wealth_share_gap_top1_bottom50",2011-12-31,2021-09-30,40,40,0.00512625018930385,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-41141.4031610887,0.000223036940944285,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0311045556501301,3.72072502362391,4.64847513938895e-07,0.482160761313211,NA,NA,NA,0.975632504426879,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-12-31,"pce_fcsu_idx","wealth_share_gap_top1_bottom50","rw40:pce_fcsu_idx__wealth_share_gap_top1_bottom50",2012-03-31,2021-12-31,40,40,0.0574249455552681,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-46907.2466316439,3.31770282706457e-05,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0380637150861307,3.9118191731888,1.68307385761804e-08,0.0148762621992498,NA,NA,NA,0.732013158898932,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-03-31,"pce_fcsu_idx","wealth_share_gap_top1_bottom50","rw40:pce_fcsu_idx__wealth_share_gap_top1_bottom50",2012-06-30,2022-03-31,40,40,-0.0263538474786864,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-51179.2931226452,3.5308979873876e-06,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0503757997835372,4.42156633136624,-8.60356659972569e-07,-0.646077573998521,NA,NA,NA,0.875200484427636,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-12-31,"pce_fcsu_idx","wealth_share_gap_top1_bottom50","rw40:pce_fcsu_idx__wealth_share_gap_top1_bottom50",2013-03-31,2022-12-31,40,40,-0.449387770426723,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-54455.9022822618,2.71349859527139e-11,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0243078255638624,4.1397884193566,7.0129039229698e-07,0.784400094436756,NA,NA,NA,0.0046491059638067,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2023-03-31,"pce_fcsu_idx","wealth_share_gap_top1_bottom50","rw40:pce_fcsu_idx__wealth_share_gap_top1_bottom50",2013-06-30,2023-03-31,40,40,-0.518650376800787,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-56769.4994727628,4.44975651148658e-12,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0120153902892141,-1.42980013242948,-2.91376407375906e-06,-3.08837169617734,NA,NA,NA,0.000850005560460617,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2023-06-30,"pce_fcsu_idx","wealth_share_gap_top1_bottom50","rw40:pce_fcsu_idx__wealth_share_gap_top1_bottom50",2013-09-30,2023-06-30,40,40,-0.479931941496349,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-59174.8205339525,4.32174968053832e-13,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.00862018117839283,-0.634186623098967,-5.2295759927048e-06,-3.64758336909119,NA,NA,NA,0.00229447322445781,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2023-09-30,"pce_fcsu_idx","wealth_share_gap_top1_bottom50","rw40:pce_fcsu_idx__wealth_share_gap_top1_bottom50",2013-12-31,2023-09-30,40,40,-0.519929358414676,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-61634.5424245226,2.07471491506207e-14,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0114913695061686,-1.50168782443508,-2.38263701190327e-06,-2.80395460476769,NA,NA,NA,0.000820907665495042,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
