"date","target","candidate","model_id","window_start","window_end","rolling_window","n_obs","residual_corr","causality_p","causality_fstat","causality_df1","causality_df2","causality_reverse_p","causality_reverse_fisher","causality_reverse_df","causality_reverse_fstat","granger_sig_threshold","causality_significant","causality_reverse_significant","selected_lag","reverse_selected_lag","n_obs_model","n_test_params","candidate_block_size","beta_coeff","beta_p","coint_method_requested","coint_p","coint_rank","coint_method","coint_selected_lag","coint_alpha","model_regime","model_type","target_alpha","target_t_stat","candidate_alpha","candidate_t_stat","p_val_C_on_T","p_val_T_on_C","var_t_stat","corr_p_value","model_stats_proxy","residual_corr_source","beta_coeff_source","exog_controls_used"
2019-06-30,"gini_households_q","ui_benefits","rw40:gini_households_q__ui_benefits",2009-09-30,2019-06-30,40,40,-0.0436071120840013,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-1.4343020681263e-06,2.3482633919019e-12,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.157778699403739,-5.96459744424717,427.79390073285,0.0162760972206862,NA,NA,NA,0.794897577971143,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2019-09-30,"gini_households_q","ui_benefits","rw40:gini_households_q__ui_benefits",2009-12-31,2019-09-30,40,40,0.162859659982734,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-1.40456371117635e-06,1.3013283015942e-11,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.00368343834195765,-1.18339060259431,9633.3186478379,6.75677018988582,NA,NA,NA,0.328598576946508,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2019-12-31,"gini_households_q","ui_benefits","rw40:gini_households_q__ui_benefits",2010-03-31,2019-12-31,40,40,-0.0615446133462083,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-1.3808827988137e-06,1.28391779010635e-10,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.151440910550855,-5.55387948109584,-27552.2064360018,-1.40900204263057,NA,NA,NA,0.713573281574319,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2020-03-31,"gini_households_q","ui_benefits","rw40:gini_households_q__ui_benefits",2010-06-30,2020-03-31,40,40,-0.109618369064041,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-1.33389956138934e-06,1.02443334022872e-08,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.144785042004494,-5.24202525048608,-28743.7932843022,-1.4721738795834,NA,NA,NA,0.51237837424859,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2020-06-30,"gini_households_q","ui_benefits","rw40:gini_households_q__ui_benefits",2010-09-30,2020-06-30,40,40,0.313220217129402,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,2.18107928230639e-08,0.607382671732352,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.130783258548181,-4.82307652583552,714631.741634996,1.41238692852465,NA,NA,NA,0.0555162483836844,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2021-12-31,"gini_households_q","ui_benefits","rw40:gini_households_q__ui_benefits",2012-03-31,2021-12-31,40,40,0.428500452740098,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,8.17239469390316e-08,0.0546606713021625,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0988090199971842,-4.94870690690703,1070582.79105291,1.3583455405785,NA,NA,NA,0.0072733905816977,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-03-31,"gini_households_q","ui_benefits","rw40:gini_households_q__ui_benefits",2012-06-30,2022-03-31,40,40,0.426412602384442,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,7.72857374018407e-08,0.0682266343461824,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0982553072301288,-5.04999716732021,965743.850795444,1.24980320592613,NA,NA,NA,0.00759483687618836,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-06-30,"gini_households_q","ui_benefits","rw40:gini_households_q__ui_benefits",2012-09-30,2022-06-30,40,40,0.427373385681921,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,7.38029411343671e-08,0.0739979489714347,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0886138986650142,-4.59366078281285,1039953.44132431,1.37162307867545,NA,NA,NA,0.00744543138436765,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-12-31,"gini_households_q","ui_benefits","rw40:gini_households_q__ui_benefits",2013-03-31,2022-12-31,40,40,0.420877574504654,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,6.98016148178298e-08,0.0733147340214875,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0793586005686529,-4.07255526487432,1148925.12572129,1.56437007664793,NA,NA,NA,0.00850662269072771,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2023-03-31,"gini_households_q","ui_benefits","rw40:gini_households_q__ui_benefits",2013-06-30,2023-03-31,40,40,0.410659507978445,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,6.88759989952515e-08,0.0733179607249553,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0840252780699943,-4.26671990467479,1059210.12694517,1.38949085723496,NA,NA,NA,0.0104372495109161,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
