"date","target","candidate","model_id","window_start","window_end","rolling_window","n_obs","residual_corr","causality_p","causality_fstat","causality_df1","causality_df2","causality_reverse_p","causality_reverse_fisher","causality_reverse_df","causality_reverse_fstat","granger_sig_threshold","causality_significant","causality_reverse_significant","selected_lag","reverse_selected_lag","n_obs_model","n_test_params","candidate_block_size","beta_coeff","beta_p","coint_method_requested","coint_p","coint_rank","coint_method","coint_selected_lag","coint_alpha","model_regime","model_type","target_alpha","target_t_stat","candidate_alpha","candidate_t_stat","p_val_C_on_T","p_val_T_on_C","var_t_stat","corr_p_value","model_stats_proxy","residual_corr_source","beta_coeff_source","exog_controls_used"
2001-03-31,"poverty_child_q","fhfa_hpi","rw40:poverty_child_q__fhfa_hpi",1991-06-30,2001-03-31,40,29,0.278653993183086,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,27,1,1,-0.104508412016393,9.03416604767816e-20,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.328581099459635,-5.17731768049473,0.940324280650677,1.66590953281133,NA,NA,NA,0.159287225486935,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2001-06-30,"poverty_child_q","fhfa_hpi","rw40:poverty_child_q__fhfa_hpi",1991-09-30,2001-06-30,40,30,0.109600598747356,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,28,1,1,-0.0988293618866028,1.08397403625455e-18,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.284229269698114,-5.13826771365241,0.422846415163197,0.838353628066278,NA,NA,NA,0.578766314994192,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2001-09-30,"poverty_child_q","fhfa_hpi","rw40:poverty_child_q__fhfa_hpi",1991-12-31,2001-09-30,40,31,-0.17338634944597,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,29,1,1,-0.0933603474081917,8.31438634039189e-18,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.168052678678315,-4.05509614526684,-0.234428053239417,-0.692433349445481,NA,NA,NA,0.368395910837268,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2001-12-31,"poverty_child_q","fhfa_hpi","rw40:poverty_child_q__fhfa_hpi",1992-03-31,2001-12-31,40,32,-0.173386349441001,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,30,1,1,-0.0884069940518152,3.60434448624766e-17,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.168052678680258,-4.0550961452854,-0.234428053230142,-0.692433349411346,NA,NA,NA,0.359514956784495,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2005-09-30,"poverty_child_q","fhfa_hpi","rw40:poverty_child_q__fhfa_hpi",1995-12-31,2005-09-30,40,40,0.222709498504773,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-0.0127705466790987,0.00995997926056596,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.00485323648929337,-1.15657583397974,0.369525483732355,4.98520979719873,NA,NA,NA,0.178960338729793,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2005-12-31,"poverty_child_q","fhfa_hpi","rw40:poverty_child_q__fhfa_hpi",1996-03-31,2005-12-31,40,40,0.399000412601596,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-0.00938348177210383,0.0440625446885774,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0253823512321679,-3.37119985808872,0.409313948531886,2.40473677784186,NA,NA,NA,0.0130843452474257,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2014-06-30,"poverty_child_q","fhfa_hpi","rw40:poverty_child_q__fhfa_hpi",2004-09-30,2014-06-30,40,40,-0.445846558039652,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-0.0674910932656436,3.19668417133229e-11,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0359527904776633,-3.04693092132912,-1.87347792387989,-2.2198510248759,NA,NA,NA,0.00502536915482559,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2014-09-30,"poverty_child_q","fhfa_hpi","rw40:poverty_child_q__fhfa_hpi",2004-12-31,2014-09-30,40,40,-0.42680645341355,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-0.0709382011525778,1.21585979749324e-13,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0235201781011695,-1.51009630863713,-2.89072205321809,-2.8045052372245,NA,NA,NA,0.00753328326550204,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2014-12-31,"poverty_child_q","fhfa_hpi","rw40:poverty_child_q__fhfa_hpi",2005-03-31,2014-12-31,40,40,-0.398780391139694,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-0.0728489648951033,4.59843194580144e-16,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0408095184494798,-2.9354530821029,-0.771912382488689,-0.732266022554436,NA,NA,NA,0.0131393089512181,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2021-06-30,"poverty_child_q","fhfa_hpi","rw40:poverty_child_q__fhfa_hpi",2011-09-30,2021-06-30,40,40,0.180894327389612,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-0.0418835275075376,1.03760070915289e-23,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.241752061732589,-8.21021273114114,1.33511932781376,0.755348307801264,NA,NA,NA,0.277101159597752,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
