"date","target","candidate","model_id","window_start","window_end","rolling_window","n_obs","residual_corr","causality_p","causality_fstat","causality_df1","causality_df2","causality_reverse_p","causality_reverse_fisher","causality_reverse_df","causality_reverse_fstat","granger_sig_threshold","causality_significant","causality_reverse_significant","selected_lag","reverse_selected_lag","n_obs_model","n_test_params","candidate_block_size","beta_coeff","beta_p","coint_method_requested","coint_p","coint_rank","coint_method","coint_selected_lag","coint_alpha","model_regime","model_type","target_alpha","target_t_stat","candidate_alpha","candidate_t_stat","p_val_C_on_T","p_val_T_on_C","var_t_stat","corr_p_value","model_stats_proxy","residual_corr_source","beta_coeff_source","exog_controls_used"
2001-09-30,"wealth_share_gap_top1_bottom50","snap_persons","rw40:wealth_share_gap_top1_bottom50__snap_persons",1991-12-31,2001-09-30,40,40,-0.0124084543850984,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-2.62059279041187e-05,0.0190948623811654,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.034695346786537,-0.608666536467066,-2072.52998165822,-6.00531944729597,NA,NA,NA,0.941059386926941,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2002-03-31,"wealth_share_gap_top1_bottom50","snap_persons","rw40:wealth_share_gap_top1_bottom50__snap_persons",1992-06-30,2002-03-31,40,40,-0.121653528458259,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-2.36202447912592e-05,0.0155001682876828,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.121695472023971,-2.31190219070687,-1747.94323615958,-4.09635746881575,NA,NA,NA,0.466870418262701,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2002-06-30,"wealth_share_gap_top1_bottom50","snap_persons","rw40:wealth_share_gap_top1_bottom50__snap_persons",1992-09-30,2002-06-30,40,40,-0.175652804238721,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-2.16627553874552e-05,0.0160464336713643,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.156209075088526,-2.88798567388853,-1574.04977395027,-3.37801021937021,NA,NA,NA,0.291491856531737,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2002-09-30,"wealth_share_gap_top1_bottom50","snap_persons","rw40:wealth_share_gap_top1_bottom50__snap_persons",1992-12-31,2002-09-30,40,40,-0.283725183177759,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-1.85160461823336e-05,0.0221037971139614,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.152751940978757,-2.60760201561585,-1276.13286312707,-2.46575913545506,NA,NA,NA,0.0843027231078309,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2002-12-31,"wealth_share_gap_top1_bottom50","snap_persons","rw40:wealth_share_gap_top1_bottom50__snap_persons",1993-03-31,2002-12-31,40,40,-0.256761412321449,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-1.54355157845717e-05,0.0358994001329321,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.088005200794415,-1.10910684604154,-2520.11996767225,-4.58983029517463,NA,NA,NA,0.119677521856455,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2003-03-31,"wealth_share_gap_top1_bottom50","snap_persons","rw40:wealth_share_gap_top1_bottom50__snap_persons",1993-06-30,2003-03-31,40,40,-0.130861682576276,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-1.22837622159974e-05,0.0771268556147773,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0306864732746372,0.348261811257294,-2930.21837180195,-5.07535038233753,NA,NA,NA,0.433559831639518,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2003-06-30,"wealth_share_gap_top1_bottom50","snap_persons","rw40:wealth_share_gap_top1_bottom50__snap_persons",1993-09-30,2003-06-30,40,40,-0.0926904002145047,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-9.69471979557298e-06,0.130104999750134,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0208331996001872,0.218090156292064,-3398.16898639072,-5.83542328476676,NA,NA,NA,0.57992875629595,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2003-09-30,"wealth_share_gap_top1_bottom50","snap_persons","rw40:wealth_share_gap_top1_bottom50__snap_persons",1993-12-31,2003-09-30,40,40,-0.0164242606000876,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-7.0816152605715e-06,0.236239939353151,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0903278155347033,0.957563679824514,-3354.16845047695,-5.59827113389204,NA,NA,NA,0.922035288890069,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2003-12-31,"wealth_share_gap_top1_bottom50","snap_persons","rw40:wealth_share_gap_top1_bottom50__snap_persons",1994-03-31,2003-12-31,40,40,-0.00145270275403756,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-4.80523600691529e-06,0.396868582794211,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",0.0784785082744572,0.78347768148436,-3606.29389141832,-5.91510414800719,NA,NA,NA,0.993093669909243,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2017-09-30,"wealth_share_gap_top1_bottom50","snap_persons","rw40:wealth_share_gap_top1_bottom50__snap_persons",2007-12-31,2017-09-30,40,40,-0.224162437506093,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,1.27550080070371e-05,3.41608058728229e-21,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.40728091597234,-2.73364811096751,-13757.9517953733,-2.78178804456571,NA,NA,NA,0.17606820182752,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
