"target","mode","top_candidate","placebo_top_candidate","top_match","top_score","placebo_top_score","top_score_delta","top_score_ratio","score_correlation","candidate_count"
"poverty_all_q","positive","transfer_composite","transfer_composite",TRUE,0,0,0,NA,NA,16
"poverty_all_q","negative","transfer_composite","transfer_composite",TRUE,0,0,0,NA,NA,16
"poverty_all_q","least","transfer_composite","transfer_composite",TRUE,NA,NA,NA,NA,NA,16
"poverty_child_q","positive","median_real_income_fred_q","median_real_income_fred_q",TRUE,0,0,0,NA,NA,16
"poverty_child_q","negative","median_real_income_fred_q","median_real_income_fred_q",TRUE,0,0,0,NA,NA,16
"poverty_child_q","least","median_real_income_fred_q","median_real_income_fred_q",TRUE,NA,NA,NA,NA,NA,16
"gini_households_q","positive","wealth_share_gap_top1_bottom50","wealth_share_gap_top1_bottom50",TRUE,0,0,0,NA,NA,13
"gini_households_q","negative","wealth_share_gap_top1_bottom50","wealth_share_gap_top1_bottom50",TRUE,0,0,0,NA,NA,13
"gini_households_q","least","wealth_share_gap_top1_bottom50","wealth_share_gap_top1_bottom50",TRUE,NA,NA,NA,NA,NA,13
"gini_income_fred_q","positive","ui_benefits","ui_benefits",TRUE,0,0,0,NA,NA,12
"gini_income_fred_q","negative","ui_benefits","ui_benefits",TRUE,0,0,0,NA,NA,12
"gini_income_fred_q","least","ui_benefits","ui_benefits",TRUE,NA,NA,NA,NA,NA,12
"median_real_income_fred_q","positive","fed_funds","fed_funds",TRUE,0,0,0,NA,NA,13
"median_real_income_fred_q","negative","fed_funds","fed_funds",TRUE,0,0,0,NA,NA,13
"median_real_income_fred_q","least","fed_funds","fed_funds",TRUE,NA,NA,NA,NA,NA,13
"median_hh_income_q","positive","median_real_income_fred_q","median_real_income_fred_q",TRUE,0,0,0,NA,NA,14
"median_hh_income_q","negative","median_real_income_fred_q","median_real_income_fred_q",TRUE,0,0,0,NA,NA,14
"median_hh_income_q","least","median_real_income_fred_q","median_real_income_fred_q",TRUE,NA,NA,NA,NA,NA,14
"wealth_share_gap_top10_bottom50","positive","total_credit","total_credit",TRUE,0,0,0,NA,NA,11
"wealth_share_gap_top10_bottom50","negative","total_credit","total_credit",TRUE,0,0,0,NA,NA,11
"wealth_share_gap_top10_bottom50","least","total_credit","total_credit",TRUE,NA,NA,NA,NA,NA,11
"wealth_share_gap_top1_bottom50","positive","equity_wealth_proxy","equity_wealth_proxy",TRUE,0,0,0,NA,NA,7
"wealth_share_gap_top1_bottom50","negative","equity_wealth_proxy","equity_wealth_proxy",TRUE,0,0,0,NA,NA,7
"wealth_share_gap_top1_bottom50","least","equity_wealth_proxy","equity_wealth_proxy",TRUE,NA,NA,NA,NA,NA,7
