"date","target","candidate","model_id","window_start","window_end","rolling_window","n_obs","residual_corr","causality_p","causality_fstat","causality_df1","causality_df2","causality_reverse_p","causality_reverse_fisher","causality_reverse_df","causality_reverse_fstat","granger_sig_threshold","causality_significant","causality_reverse_significant","selected_lag","reverse_selected_lag","n_obs_model","n_test_params","candidate_block_size","beta_coeff","beta_p","coint_method_requested","coint_p","coint_rank","coint_method","coint_selected_lag","coint_alpha","model_regime","model_type","target_alpha","target_t_stat","candidate_alpha","candidate_t_stat","p_val_C_on_T","p_val_T_on_C","var_t_stat","corr_p_value","model_stats_proxy","residual_corr_source","beta_coeff_source","exog_controls_used"
2008-09-30,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",1998-12-31,2008-09-30,40,40,-0.198851011347577,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.261421297278351,5.41770725610674e-07,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.132478782950482,-5.02391645565695,-0.0980254650035976,-1.10569357588204,NA,NA,NA,0.231365339013553,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2008-12-31,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",1999-03-31,2008-12-31,40,40,-0.0405587398549137,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.232219767417729,2.03457521839618e-06,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.130825221956944,-4.90152053195739,-0.0132459743428133,-0.149983005680854,NA,NA,NA,0.808959726025876,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2009-03-31,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",1999-06-30,2009-03-31,40,40,-0.0191355835409695,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.20316114934664,9.11766565224507e-06,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.117658225224328,-4.25107382628067,0.0386015025599319,0.464973773494418,NA,NA,NA,0.909214397852895,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2009-06-30,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",1999-09-30,2009-06-30,40,40,0.194759438059242,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.172803717408066,5.19075119692677e-05,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.0880536909547897,-3.71921017636378,0.133129463225884,2.17551253554385,NA,NA,NA,0.24130389231667,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2015-03-31,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",2005-06-30,2015-03-31,40,40,-0.309524837416367,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-0.132283199761005,0.00136087476466037,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.222542453945582,-9.28822804569417,-0.08423393257489,-0.963921937579915,NA,NA,NA,0.0586196268090092,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2015-06-30,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",2005-09-30,2015-06-30,40,40,-0.390579555446238,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-0.141583748328924,0.00114240187386709,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.219878429019625,-8.89316059936624,-0.117806748829997,-1.36553394891649,NA,NA,NA,0.0153320508376504,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2015-12-31,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",2006-03-31,2015-12-31,40,40,-0.445160201604415,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-0.144310774073605,0.00333519297902461,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.20259947975753,-7.57160985501754,-0.155753605927417,-1.87235425442019,NA,NA,NA,0.00510126783618389,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2016-03-31,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",2006-06-30,2016-03-31,40,40,-0.504155584121447,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-0.13562618441056,0.00918079030611482,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.197161784659664,-7.29438398387553,-0.184646468992386,-2.26587910078396,NA,NA,NA,0.00124969448689564,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2016-06-30,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",2006-09-30,2016-06-30,40,40,-0.558540145690198,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,-0.123361856829301,0.0265312707089704,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.191999333608202,-7.26474148126579,-0.20635477744528,-2.62663363569553,NA,NA,NA,0.000268075112281915,FALSE,"vecm_residuals","vecm_cointegration_vector",FALSE
2022-03-31,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",2012-06-30,2022-03-31,40,40,0.498239852202579,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.440411469550809,2.2467213508151e-06,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.163104864186174,-8.72071847399498,0.153665750239847,3.05825183562532,NA,NA,NA,0.0014555638233702,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-06-30,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",2012-09-30,2022-06-30,40,40,0.482774448683267,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.325768802714274,0.0002528133252118,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.173092121201615,-10.2301913090439,0.090219654851293,1.7941670396766,NA,NA,NA,0.00214141776135575,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
2022-09-30,"gini_income_fred_q","wealth_share_gap_top10_bottom50","rw40:gini_income_fred_q__wealth_share_gap_top10_bottom50",2012-12-31,2022-09-30,40,40,0.456310058758374,NA,NA,NA,NA,NA,NA,NA,NA,0.05,FALSE,FALSE,1,1,38,1,1,0.234629472149214,0.00656898655024672,"johansen",0.5,1,"johansen_trace",2,0.05,"vecm","VECM",-0.179247678518076,-11.869306804844,0.0895902987770708,2.07006174889342,NA,NA,NA,0.00398357898407861,FALSE,"vecm_residuals","vecm_cointegration_vector",TRUE
