"target","mode","rank","candidate","score","sig_share","coint_share","n_windows","selected_for_contract"
"gini_households_q","least",1,"wealth_share_gap_top1_bottom50",NA,0,0,10,FALSE
"gini_households_q","least",2,"median_real_income_fred_q",NA,0,0,28,FALSE
"gini_households_q","least",3,"ui_benefits",NA,0,0,21,FALSE
"gini_households_q","least",4,"transfers_total",NA,0,0,1,FALSE
"gini_households_q","least",5,"nonrevolving_credit",NA,0,0,3,FALSE
"gini_households_q","least",6,"snap_persons",NA,0,0,6,FALSE
"gini_households_q","least",7,"top1_wealth_share",NA,0,0,13,FALSE
"gini_households_q","least",8,"cc_delinquency",NA,0,0,7,FALSE
"gini_households_q","least",9,"bottom50_wealth_share",NA,0,0,5,FALSE
"gini_households_q","least",10,"fhfa_hpi",NA,0,0,27,FALSE
"gini_households_q","least",11,"fed_funds",NA,0,0,7,FALSE
"gini_households_q","least",12,"top10_wealth_share",NA,0,0,4,FALSE
"gini_households_q","least",13,"wealth_share_gap_top10_bottom50",NA,0,0,9,FALSE
"gini_households_q","negative",1,"wealth_share_gap_top1_bottom50",0,0,0,10,FALSE
"gini_households_q","negative",2,"median_real_income_fred_q",0,0,0,28,FALSE
"gini_households_q","negative",3,"ui_benefits",0,0,0,21,FALSE
"gini_households_q","negative",4,"transfers_total",0,0,0,1,FALSE
"gini_households_q","negative",5,"nonrevolving_credit",0,0,0,3,FALSE
"gini_households_q","negative",6,"snap_persons",0,0,0,6,FALSE
"gini_households_q","negative",7,"top1_wealth_share",0,0,0,13,FALSE
"gini_households_q","negative",8,"cc_delinquency",0,0,0,7,FALSE
"gini_households_q","negative",9,"bottom50_wealth_share",0,0,0,5,FALSE
"gini_households_q","negative",10,"fhfa_hpi",0,0,0,27,FALSE
"gini_households_q","negative",11,"fed_funds",0,0,0,7,FALSE
"gini_households_q","negative",12,"top10_wealth_share",0,0,0,4,FALSE
"gini_households_q","negative",13,"wealth_share_gap_top10_bottom50",0,0,0,9,FALSE
"gini_households_q","positive",1,"wealth_share_gap_top1_bottom50",0,0,0,10,TRUE
"gini_households_q","positive",2,"median_real_income_fred_q",0,0,0,28,TRUE
"gini_households_q","positive",3,"ui_benefits",0,0,0,21,TRUE
"gini_households_q","positive",4,"transfers_total",0,0,0,1,TRUE
"gini_households_q","positive",5,"nonrevolving_credit",0,0,0,3,TRUE
"gini_households_q","positive",6,"snap_persons",0,0,0,6,FALSE
"gini_households_q","positive",7,"top1_wealth_share",0,0,0,13,FALSE
"gini_households_q","positive",8,"cc_delinquency",0,0,0,7,FALSE
"gini_households_q","positive",9,"bottom50_wealth_share",0,0,0,5,FALSE
"gini_households_q","positive",10,"fhfa_hpi",0,0,0,27,FALSE
"gini_households_q","positive",11,"fed_funds",0,0,0,7,FALSE
"gini_households_q","positive",12,"top10_wealth_share",0,0,0,4,FALSE
"gini_households_q","positive",13,"wealth_share_gap_top10_bottom50",0,0,0,9,FALSE
"gini_income_fred_q","least",1,"ui_benefits",NA,0,0,28,FALSE
"gini_income_fred_q","least",2,"snap_persons",NA,0,0,5,FALSE
"gini_income_fred_q","least",3,"nonrevolving_credit",NA,0,0,3,FALSE
"gini_income_fred_q","least",4,"wealth_share_gap_top10_bottom50",NA,0,0,12,FALSE
"gini_income_fred_q","least",5,"top10_wealth_share",NA,0,0,20,FALSE
"gini_income_fred_q","least",6,"wealth_share_gap_top1_bottom50",NA,0,0,10,FALSE
"gini_income_fred_q","least",7,"fed_funds",NA,0,0,18,FALSE
"gini_income_fred_q","least",8,"median_real_income_fred_q",NA,0,0,29,FALSE
"gini_income_fred_q","least",9,"fhfa_hpi",NA,0,0,27,FALSE
"gini_income_fred_q","least",10,"bottom50_wealth_share",NA,0,0,3,FALSE
"gini_income_fred_q","least",11,"top1_wealth_share",NA,0,0,8,FALSE
"gini_income_fred_q","least",12,"cc_delinquency",NA,0,0,10,FALSE
"gini_income_fred_q","negative",1,"ui_benefits",0,0,0,28,FALSE
"gini_income_fred_q","negative",2,"snap_persons",0,0,0,5,FALSE
"gini_income_fred_q","negative",3,"nonrevolving_credit",0,0,0,3,FALSE
"gini_income_fred_q","negative",4,"wealth_share_gap_top10_bottom50",0,0,0,12,FALSE
"gini_income_fred_q","negative",5,"top10_wealth_share",0,0,0,20,FALSE
"gini_income_fred_q","negative",6,"wealth_share_gap_top1_bottom50",0,0,0,10,FALSE
"gini_income_fred_q","negative",7,"fed_funds",0,0,0,18,FALSE
"gini_income_fred_q","negative",8,"median_real_income_fred_q",0,0,0,29,FALSE
"gini_income_fred_q","negative",9,"fhfa_hpi",0,0,0,27,FALSE
"gini_income_fred_q","negative",10,"bottom50_wealth_share",0,0,0,3,FALSE
