"estimator","treatment","outcome","h_min","h_max","estimate_start","estimate_end","endpoint_delta","stable","max_delta_threshold"
"lp","ui_benefits","poverty_all_q",2,8,-1.99797454250797e-06,5.86115082413776e-06,7.85912536664573e-06,TRUE,1
"lp","ui_benefits","poverty_child_q",2,8,-7.70753680957454e-06,6.72112537225775e-06,1.44286621818323e-05,TRUE,1
"dml","ui_benefits","poverty_child_q",2,8,4.54823051083945e-05,5.75933600288855e-05,1.2111054920491e-05,TRUE,1
"dml","ui_benefits","poverty_all_q",2,8,1.60739760046444e-05,3.12531384029062e-05,1.51791623982618e-05,TRUE,1
"tmle","ui_benefits","poverty_child_q",2,8,-1.79156924119151,5.59517563230203,7.38674487349354,FALSE,1
"tmle","ui_benefits","poverty_all_q",2,8,0.656268568321369,4.05613920180423,3.39987063348286,FALSE,1
"cf","ui_benefits","poverty_child_q",2,8,3.50826864361308e-05,1.30722585426759e-05,-2.20104278934549e-05,TRUE,1
"cf","ui_benefits","poverty_all_q",2,8,2.62193621691453e-05,-1.47793391695155e-05,-4.09987013386608e-05,TRUE,1
"lp","ui_benefits","gini_households_q",2,8,6.46336392422008e-08,-6.10556862199036e-08,-1.25689325462104e-07,TRUE,1
"dml","ui_benefits","gini_households_q",2,8,6.54313355633811e-09,2.38661775238875e-08,1.73230439675494e-08,TRUE,1
"tmle","ui_benefits","gini_households_q",2,8,0.00562956164921045,0.00972951979617937,0.00409995814696892,TRUE,1
"cf","ui_benefits","gini_households_q",2,8,5.36025903353222e-07,1.33539113105716e-06,7.99365227703938e-07,TRUE,1
"lp","ui_benefits","median_real_income_fred_q",2,8,-0.011069940235641,-0.0314014990661582,-0.0203315588305172,TRUE,1
"dml","ui_benefits","median_real_income_fred_q",2,8,-0.0178425573795009,-0.0317754977387777,-0.0139329403592768,TRUE,1
"tmle","ui_benefits","median_real_income_fred_q",2,8,1248.40258582296,-19655.3821121501,-20903.7846979731,FALSE,1
"cf","ui_benefits","median_real_income_fred_q",2,8,-0.0414528305402924,0.766369418425129,0.807822248965421,TRUE,1
"lp","transfers_total","poverty_all_q",2,8,-7.91921656391889e-07,-1.87126593480667e-07,6.04795062911222e-07,TRUE,1
"lp","transfers_total","poverty_child_q",2,8,-1.3908319566555e-06,-7.2258269035148e-07,6.6824926630402e-07,TRUE,1
"dml","transfers_total","poverty_all_q",2,8,1.74734640541998e-06,4.91950992142173e-06,3.17216351600175e-06,TRUE,1
"dml","transfers_total","poverty_child_q",2,8,4.40400119258859e-06,7.77283150637714e-06,3.36883031378855e-06,TRUE,1
"tmle","transfers_total","poverty_all_q",2,8,-21.4541770640686,1.38865112588438,22.842828189953,FALSE,1
"cf","transfers_total","poverty_all_q",2,8,3.35534367458063e-06,-1.12615765187899e-06,-4.48150132645962e-06,TRUE,1
"tmle","transfers_total","poverty_child_q",2,8,-33.1270874448634,2.94648133216951,36.0735687770329,FALSE,1
"cf","transfers_total","poverty_child_q",2,8,4.48960082481577e-06,9.96081341328215e-07,-3.49351948348755e-06,TRUE,1
"lp","transfers_total","gini_households_q",2,8,6.20454931375536e-09,-3.94191873526011e-09,-1.01464680490155e-08,TRUE,1
"dml","transfers_total","gini_households_q",2,8,1.96657070107753e-09,2.81619671283304e-09,8.4962601175551e-10,TRUE,1
"tmle","transfers_total","gini_households_q",2,8,-0.0463114686200551,-0.00529356273747808,0.041017905882577,TRUE,1
"cf","transfers_total","gini_households_q",2,8,6.85962958451815e-08,1.01754274883252e-07,3.31579790380705e-08,TRUE,1
"lp","transfers_total","median_real_income_fred_q",2,8,0.00145879155298389,-0.00267945236809317,-0.00413824392107706,TRUE,1
"dml","transfers_total","median_real_income_fred_q",2,8,-0.00443913324648523,0.000456906677207523,0.00489603992369275,TRUE,1
"tmle","transfers_total","median_real_income_fred_q",2,8,14956.5108112048,-2335.83572300506,-17292.3465342099,FALSE,1
"cf","transfers_total","median_real_income_fred_q",2,8,-0.00530480077471442,0.0583958981387304,0.0637006989134448,TRUE,1
"lp","transfer_composite_fp","poverty_all_q",2,8,6.31436243560315e-06,1.27233993198352e-05,6.40903688423205e-06,TRUE,1
"lp","transfer_composite_fp","poverty_child_q",2,8,5.33128073925127e-06,1.94055471844326e-05,1.40742664451813e-05,TRUE,1
"dml","transfer_composite_fp","poverty_all_q",2,8,9.05532319666915e-06,9.47056786573496e-06,4.1524466906581e-07,TRUE,1
"dml","transfer_composite_fp","poverty_child_q",2,8,2.18619480593116e-05,3.07751613857782e-05,8.9132133264666e-06,TRUE,1
"tmle","transfer_composite_fp","poverty_all_q",2,8,173.29212443056,-5.60598271927614,-178.898107149836,FALSE,1
"cf","transfer_composite_fp","poverty_all_q",2,8,-1.70180420944317e-05,-2.32302710761575e-06,1.4695014986816e-05,TRUE,1
"tmle","transfer_composite_fp","poverty_child_q",2,8,285.747461166138,-13.0985393242993,-298.846000490437,FALSE,1
"cf","transfer_composite_fp","poverty_child_q",2,8,-2.27709061228938e-05,2.05470695291437e-06,2.48256130758082e-05,TRUE,1
"lp","transfer_composite_fp","gini_households_q",2,8,1.80773706169383e-08,-2.50015140072296e-08,-4.30788846241679e-08,TRUE,1
"dml","transfer_composite_fp","gini_households_q",2,8,1.65780046044956e-08,2.78419590832402e-08,1.12639544787446e-08,TRUE,1
"tmle","transfer_composite_fp","gini_households_q",2,8,-0.227222032047031,0.0193958479511285,0.24661787999816,TRUE,1
"cf","transfer_composite_fp","gini_households_q",2,8,-3.47915076199058e-07,2.09897733659723e-07,5.57812809858781e-07,TRUE,1
"lp","transfer_composite_fp","median_real_income_fred_q",2,8,-0.033371127090559,-0.0417497547076858,-0.0083786276171268,TRUE,1
"dml","transfer_composite_fp","median_real_income_fred_q",2,8,-0.0051329641943207,-0.0289693299266629,-0.0238363657323422,TRUE,1
"tmle","transfer_composite_fp","median_real_income_fred_q",2,8,-99859.7707290113,4531.90023236812,104391.670961379,FALSE,1
"cf","transfer_composite_fp","median_real_income_fred_q",2,8,0.026905536851669,0.12045849364467,0.093552956793001,TRUE,1
