"group","run_id","estimator","p","rank","rw_stepdown_p"
"other","20260406T131400_dml","dml",3.54744956733534e-05,1,0.00383124553272217
"other","20260406T131404_tmle","tmle",0.000832714930536028,2,0.089100497567355
"other","20260406T131404_dml","dml",0.00139646394054558,3,0.148025177697831
"other","20260406T131406_dml","dml",0.00155637583338335,4,0.163419462505252
"other","20260406T131356_dml","dml",0.00181668176500068,5,0.188934903560071
"other","20260406T131357_dml","dml",0.00210651877950928,6,0.216971434289456
"other","20260406T131356_dml","dml",0.0027786796298568,7,0.283425322245394
"other","20260406T131400_dml","dml",0.00290248835440447,8,0.293151323794851
"other","20260406T131356_dml","dml",0.00355833720897476,9,0.355833720897476
"other","20260406T131401_lp","lp",0.00584796570401776,10,0.578948604697758
"other","20260406T131356_lp","lp",0.0070874759987634,11,0.694572647878813
"other","20260406T131357_lp","lp",0.00722182702151977,12,0.700517221087418
"other","20260406T131400_dml","dml",0.0113985025093354,13,1
"other","20260406T131405_lp","lp",0.0114848565421435,14,1
"other","20260406T131405_dml","dml",0.013623413323333,15,1
"other","20260406T131404_lp","lp",0.0143059646697357,16,1
"other","20260406T131407_lp","lp",0.0145962100016145,17,1
"other","20260406T131408_tmle","tmle",0.0169378390246077,18,1
"other","20260406T131407_lp","lp",0.0176689291553387,19,1
"other","20260406T131406_tmle","tmle",0.0177680840405249,20,1
"other","20260406T131404_lp","lp",0.0198146160061259,21,1
"other","20260406T131405_tmle","tmle",0.0212892958069563,22,1
"other","20260406T131402_dml","dml",0.0224663222294681,23,1
"other","20260406T131405_lp","lp",0.0295448872821985,24,1
"other","20260406T131404_dml","dml",0.036980705529735,25,1
"other","20260406T131400_dml","dml",0.0480293847708871,26,1
"other","20260406T131358_lp","lp",0.0500534546546043,27,1
"other","20260406T131405_lp","lp",0.0596277012898777,28,1
"other","20260406T131406_tmle","tmle",0.0600642562217059,29,1
"other","20260406T131405_tmle","tmle",0.0660222909172865,30,1
"other","20260406T131357_dml","dml",0.075081827564795,31,1
"other","20260406T131408_tmle","tmle",0.0769095257601945,32,1
"other","20260406T131405_tmle","tmle",0.0850258916761537,33,1
"other","20260406T131406_tmle","tmle",0.0859330668579211,34,1
"other","20260406T131405_tmle","tmle",0.0871049375801898,35,1
"other","20260406T131401_lp","lp",0.0882804121430107,36,1
"other","20260406T131357_tmle","tmle",0.0934705628300043,37,1
"other","20260406T131401_dml","dml",0.0946505623719244,38,1
"other","20260406T131356_tmle","tmle",0.0949677106262983,39,1
"other","20260406T131406_tmle","tmle",0.0952925555447544,40,1
"other","20260406T131357_tmle","tmle",0.0999594537870039,41,1
"other","20260406T131407_lp","lp",0.103278191394243,42,1
"other","20260406T131402_dml","dml",0.10447002593965,43,1
"other","20260406T131359_tmle","tmle",0.111500511468313,44,1
