"group","run_id","estimator","p","rank","rw_stepdown_p"
"other","20260403T160940_lp","lp",8.0702986119096e-13,1,2.54214406275152e-10
"other","20260403T160939_lp","lp",6.35163760029061e-12,2,1.99441420649125e-09
"other","20260403T160935_lp","lp",2.4960849275096e-09,3,7.81274582310505e-07
"other","20260403T160945_tmle","tmle",2.8538083204903e-09,4,8.90388195992974e-07
"other","20260403T160933_lp","lp",1.30310270546803e-08,5,4.05264941400557e-06
"other","20260403T160940_lp","lp",1.82033751101937e-08,6,5.64304628416005e-06
"other","20260403T160939_lp","lp",3.03475592247724e-08,7,9.37739580045467e-06
"other","20260403T160918_dml","dml",6.00112617188264e-08,8,1.84834686093985e-05
"other","20260403T160941_tmle","tmle",1.93988466550431e-06,9,0.000595544592309823
"other","20260403T160928_tmle","tmle",2.07960014600428e-06,10,0.00063635764467731
"other","20260403T160926_lp","lp",2.73848895736981e-06,11,0.000835239131997792
"other","20260403T160940_tmle","tmle",3.7043561153779e-06,12,0.00112612425907488
"other","20260403T160944_tmle","tmle",5.45900713587028e-06,13,0.0016540791621687
"other","20260403T160957_tmle","tmle",5.97765605422888e-06,14,0.00180525212837712
"other","20260403T160955_tmle","tmle",6.70090114539347e-06,15,0.00201697124476343
"other","20260403T160940_dml","dml",8.41302472160898e-06,16,0.00252390741648269
"other","20260403T160927_tmle","tmle",1.00934544265359e-05,17,0.00301794287353423
"other","20260403T160926_lp","lp",1.0239679613526e-05,18,0.00305142452483075
"other","20260403T160956_tmle","tmle",1.132048499749e-05,19,0.00336218404425453
"other","20260403T160927_dml","dml",1.13296607036472e-05,20,0.00336218404425453
"other","20260403T160920_tmle","tmle",1.51369937519205e-05,21,0.00446541315681655
"other","20260403T160927_dml","dml",1.60866566445118e-05,22,0.00472947705348647
"other","20260403T160942_tmle","tmle",1.72845355546821e-05,23,0.00506436891752186
"other","20260403T160951_lp","lp",1.81765236591451e-05,24,0.00530754490847037
"other","20260403T160933_tmle","tmle",2.18140097904717e-05,25,0.00634787684902726
"other","20260403T160934_lp","lp",2.69850600024814e-05,26,0.00782566740071961
"other","20260403T160940_tmle","tmle",2.88794437469572e-05,27,0.00834615924287063
"other","20260403T160935_lp","lp",2.93487501151423e-05,28,0.00845244003316098
"other","20260403T160941_dml","dml",3.7395737778962e-05,29,0.0107325767425621
"other","20260403T160940_dml","dml",4.55707310601133e-05,30,0.0130332290831924
"other","20260403T160918_tmle","tmle",4.81994013090882e-05,31,0.0137368293730901
"other","20260403T160915_tmle","tmle",5.32144377951264e-05,32,0.0151129003338159
"other","20260403T160926_lp","lp",6.31439059070331e-05,33,0.0178697253716904
"other","20260403T160952_dml","dml",6.77747052294617e-05,34,0.0191124668747082
"other","20260403T160930_tmle","tmle",9.4286982202206e-05,35,0.0264946419988199
"other","20260403T160931_tmle","tmle",0.000107103791968922,36,0.0299890617512982
"other","20260403T160946_dml","dml",0.000118770177225754,37,0.0331368794459854
"other","20260403T160930_tmle","tmle",0.000144767308473451,38,0.0402453117556194
"other","20260403T160958_tmle","tmle",0.000148729827588323,39,0.0411981622419655
"other","20260403T160933_tmle","tmle",0.000166449665474431,40,0.045940107670943
"other","20260403T160931_tmle","tmle",0.000183601806112818,41,0.050490496681025
"other","20260403T160913_dml","dml",0.000193127170144932,42,0.0529168446197114
"other","20260403T160940_tmle","tmle",0.000194240461616475,43,0.0530276460212977
"other","20260403T160917_dml","dml",0.000235693273559986,44,0.0641085704083162
"other","20260403T160930_lp","lp",0.000235912309660584,45,0.0641085704083162
"other","20260403T160926_tmle","tmle",0.000240402820124324,46,0.0649087614335675
"other","20260403T160938_tmle","tmle",0.000240402820124324,47,0.0649087614335675
"other","20260403T160949_lp","lp",0.000277254845990714,48,0.0743042987255114
"other","20260403T160927_dml","dml",0.000300617686304049,49,0.0802649222431811
"other","20260403T160933_tmle","tmle",0.000337438816660872,50,0.089758725231792
"other","20260403T160939_dml","dml",0.000385350495834416,51,0.10211788139612
"other","20260403T160936_lp","lp",0.000444564642347259,52,0.117365065579676
"other","20260403T160929_tmle","tmle",0.000492898764788127,53,0.129632375139277
"other","20260403T160927_tmle","tmle",0.000525547370945236,54,0.137693411187652
"other","20260403T160954_tmle","tmle",0.000525547370945236,55,0.137693411187652
"other","20260403T160951_lp","lp",0.000543079576335595,56,0.141200689847255
"other","20260403T160936_lp","lp",0.000559450893697479,57,0.144897781467647
"other","20260403T160922_tmle","tmle",0.000649984942218355,58,0.167696115092336
"other","20260403T160934_tmle","tmle",0.000649984942218355,59,0.167696115092336
"other","20260403T160939_tmle","tmle",0.00073850620245893,60,0.189057587829486
"other","20260403T160954_dml","dml",0.000742739619672466,61,0.189398603016479
"other","20260403T160931_tmle","tmle",0.000899501200320744,62,0.228473304881469
"other","20260403T160923_tmle","tmle",0.00092120353629663,63,0.233064494683047
"other","20260403T160936_tmle","tmle",0.00092120353629663,64,0.233064494683047
"other","20260403T160917_tmle","tmle",0.00105716974686043,65,0.265349606461968
"other","20260403T160953_lp","lp",0.00133147600880264,66,0.33286900220066
"other","20260403T160918_dml","dml",0.00133706508175523,67,0.332929205357052
"other","20260403T160923_lp","lp",0.00136730561823652,68,0.339091793322657
"other","20260403T160946_dml","dml",0.00143208210468953,69,0.353724279858314
"other","20260403T160937_dml","dml",0.00151355590094123,70,0.372334751631543
"other","20260403T160929_lp","lp",0.00171337996588131,71,0.419778091640921
"other","20260403T160912_dml","dml",0.00187706623648887,72,0.458004161703284
"other","20260403T160921_tmle","tmle",0.00196626411342814,73,0.477802179563038
"other","20260403T160935_tmle","tmle",0.00196626411342814,74,0.477802179563038
"other","20260403T160923_lp","lp",0.00210175514618425,75,0.506522990230404
"other","20260403T160922_lp","lp",0.00213524087214111,76,0.512457809313866
"other","20260403T160923_tmle","tmle",0.00233017438260283,77,0.556911677442076
"other","20260403T160936_tmle","tmle",0.00233017438260283,78,0.556911677442076
"other","20260403T160953_dml","dml",0.00262385795652181,79,0.621854335695669
"other","20260403T160930_lp","lp",0.00286750847292561,80,0.676731999610444
"other","20260403T160923_tmle","tmle",0.00310669262578913,81,0.730072767060446
"other","20260403T160936_tmle","tmle",0.00310669262578913,82,0.730072767060446
"other","20260403T160914_tmle","tmle",0.00311834520492021,83,0.730072767060446
"other","20260403T160917_tmle","tmle",0.0033688990305988,84,0.781584575098922
"other","20260403T160932_tmle","tmle",0.00345729594101127,85,0.798635362373603
"other","20260403T160937_lp","lp",0.00354084792375963,86,0.814395022464715
"other","20260403T160912_tmle","tmle",0.00401449597011305,87,0.919319577155888
"other","20260403T160920_lp","lp",0.00447280819456984,88,1
"other","20260403T160950_tmle","tmle",0.00458347757793973,89,1
"other","20260403T160928_dml","dml",0.00523711426480505,90,1
"other","20260403T160928_lp","lp",0.00584494067640106,91,1
"other","20260403T160937_dml","dml",0.00609946753760786,92,1
"other","20260403T160956_dml","dml",0.00625428181216533,93,1
"other","20260403T160950_tmle","tmle",0.00636199971308065,94,1
"other","20260403T160941_dml","dml",0.00679211206099804,95,1
"other","20260403T160948_tmle","tmle",0.00704120113415416,96,1
"other","20260403T160954_lp","lp",0.00786793602162387,97,1
"other","20260403T160952_tmle","tmle",0.00801045167893594,98,1
"other","20260403T160918_dml","dml",0.0097476598133624,99,1
"other","20260403T160955_lp","lp",0.0111015335577024,100,1
"other","20260403T160949_dml","dml",0.0122916964641533,101,1
"other","20260403T160948_dml","dml",0.0129153865259296,102,1
"other","20260403T160912_dml","dml",0.0145027135493007,103,1
"other","20260403T160939_dml","dml",0.0163735368330292,104,1
"other","20260403T160930_dml","dml",0.0164081493309747,105,1
"other","20260403T160924_tmle","tmle",0.0168557374341925,106,1
"other","20260403T160938_tmle","tmle",0.0168557374341925,107,1
"other","20260403T160944_dml","dml",0.0168589481756453,108,1
"other","20260403T160953_tmle","tmle",0.0177221634462702,109,1
"other","20260403T160940_dml","dml",0.0177709392858882,110,1
"other","20260403T160950_lp","lp",0.019361375490351,111,1
"other","20260403T160948_dml","dml",0.0197040308109877,112,1
"other","20260403T160945_dml","dml",0.0197714631888013,113,1
"other","20260403T160953_dml","dml",0.0201662094701731,114,1
"other","20260403T160932_dml","dml",0.021451006799784,115,1
"other","20260403T160929_dml","dml",0.0215602796709374,116,1
"other","20260403T160931_lp","lp",0.0234388617039667,117,1
"other","20260403T160944_lp","lp",0.0234927973186739,118,1
"other","20260403T160939_lp","lp",0.0247870413687385,119,1
"other","20260403T160924_tmle","tmle",0.0266460555393168,120,1
"other","20260403T160938_tmle","tmle",0.0266460555393168,121,1
"other","20260403T160952_tmle","tmle",0.0266460555393168,122,1
"other","20260403T160922_dml","dml",0.027142878032507,123,1
"other","20260403T160946_tmle","tmle",0.0274004683958627,124,1
"other","20260403T160952_lp","lp",0.0281558587689297,125,1
"other","20260403T160947_tmle","tmle",0.0303123188424194,126,1
"other","20260403T160938_lp","lp",0.032175772678471,127,1
"other","20260403T160955_lp","lp",0.0330166530069097,128,1
"other","20260403T160957_lp","lp",0.0332052177588663,129,1
"other","20260403T160954_dml","dml",0.0342767309369396,130,1
"other","20260403T160921_dml","dml",0.0359053410390033,131,1
"other","20260403T160953_lp","lp",0.0374725195652764,132,1
"other","20260403T160930_dml","dml",0.0382482146312011,133,1
"other","20260403T160955_dml","dml",0.0396435226422055,134,1
"other","20260403T160945_tmle","tmle",0.042107866769211,135,1
"other","20260403T160917_lp","lp",0.0431383311559404,136,1
"other","20260403T160929_dml","dml",0.0448804853369873,137,1
"other","20260403T160949_dml","dml",0.0458903247250136,138,1
"other","20260403T160915_dml","dml",0.0464833161967587,139,1
"other","20260403T160928_tmle","tmle",0.0466357897344039,140,1
"other","20260403T160954_tmle","tmle",0.0466357897344039,141,1
"other","20260403T160956_tmle","tmle",0.0466357897344039,142,1
"other","20260403T160926_tmle","tmle",0.0471408655692423,143,1
"other","20260403T160939_tmle","tmle",0.0471408655692423,144,1
