"contract_id","treatment","outcome","iv_candidate","negative_control_candidate","status","notes"
"contract_001","fed_funds","pce_essential_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_002","fed_funds","pce_discretionary_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_003","fed_funds","pce_gap_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_004","fed_funds","pce_eshare_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_005","transfer_composite","pce_essential_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_006","transfer_composite","pce_discretionary_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_007","transfer_composite","pce_gap_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_008","transfer_composite","pce_eshare_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_009","social_security","pce_essential_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_010","social_security","pce_discretionary_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_011","social_security","pce_gap_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_012","social_security","pce_eshare_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_013","ui_benefits","pce_essential_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_014","ui_benefits","pce_discretionary_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_015","ui_benefits","pce_gap_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_016","ui_benefits","pce_eshare_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_017","snap_persons","pce_essential_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_018","snap_persons","pce_discretionary_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_019","snap_persons","pce_gap_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_020","snap_persons","pce_eshare_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_021","household_networth","pce_essential_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_022","household_networth","pce_discretionary_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_023","household_networth","pce_gap_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_024","household_networth","pce_eshare_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_025","credit_composite","pce_essential_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_026","credit_composite","pce_discretionary_v2_idx",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_027","credit_composite","pce_gap_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_028","credit_composite","pce_eshare_v2",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
