"feature","F1","F2"
"m__pce_essential_idx__lag001",0.214731844274878,-0.0258979042045903
"m__pce_discretionary_idx__lag001",0.137003676295996,-0.276041160791084
"m__pce_fcsu_idx__lag001",0.214613868594015,-0.0284580431840809
"q__pce_essential_cex_idx__lag001",0.160827947639657,-0.134209119764295
"q__pce_discretionary_cex_idx__lag001",0.123163058616907,-0.280776600151427
"m__fed_funds__lag001",-0.0968298044770226,-0.312575383551661
"m__transfers_total__lag001",0.209403653114759,-0.0287904923211391
"m__social_security__lag001",0.213273223798206,-0.0311813372334498
"m__ui_benefits__lag001",0.0507042978183256,0.0457830410716531
"m__snap_persons__lag001",0.177221871319991,0.199139853911961
"m__household_networth__lag001",0.211763466772302,-0.078368598544255
"m__equity_wealth_proxy__lag001",0.199689133207885,-0.141721692964134
"m__home_equity__lag001",0.205953362042042,-0.102722375694763
"m__fhfa_hpi__lag001",0.205275955223501,-0.108215520404783
"m__total_credit__lag001",0.215515144939084,-0.00732334926288317
"m__nonrevolving_credit__lag001",0.214399845617285,-0.0111663220992572
"m__revolving_credit__lag001",0.202156662100439,0.00682387976478111
"m__cc_delinquency__lag001",-0.147861001380469,-0.0515037525026545
"m__recession_nber__lag001",-0.0254143811134537,0.00182753823182342
"q__top1_wealth_share__lag001",0.193488202536264,0.0857806732656124
"q__top10_wealth_share__lag001",0.106568180586351,0.329845049694824
"q__bottom50_wealth_share__lag001",-0.122571330947504,-0.340267046524775
"m__transfer_composite__lag001",0.209246485910813,-0.0273081615750068
"m__transfer_composite_fp__lag001",0.192098768713477,0.153543083799581
"m__credit_composite__lag001",0.202386024166789,0.00670269848179861
"q__wealth_share_gap_top10_bottom50__lag001",0.115399109565359,0.341977512533424
"q__wealth_share_gap_top1_bottom50__lag001",0.18551868179507,0.177009080607692
"q__gini_households_q__lag001",0.197951517359859,0.0742583400248689
"q__median_hh_income_q__lag001",0.213959281106746,-0.0577714636279783
"q__poverty_all_q__lag001",-0.0431684570093004,0.335483511616571
"q__poverty_child_q__lag001",-0.109174816584901,0.280403683312189
"q__gini_income_fred_q__lag001",0.14538194434651,0.0895612053509805
"q__median_real_income_fred_q__lag001",0.19285067444375,-0.142171089300972
