"contract_id","treatment","outcome","iv_candidate","negative_control_candidate","status","notes"
"contract_001","fed_funds","poverty_all_q",NA,"wealth_share_gap_top1_bottom50","insufficient_candidates","missing_iv_or_nc_candidate"
"contract_002","fed_funds","poverty_child_q",NA,"wealth_share_gap_top1_bottom50","insufficient_candidates","missing_iv_or_nc_candidate"
"contract_003","fed_funds","gini_households_q",NA,"wealth_share_gap_top1_bottom50","insufficient_candidates","missing_iv_or_nc_candidate"
"contract_004","fed_funds","median_real_income_fred_q",NA,"wealth_share_gap_top1_bottom50","insufficient_candidates","missing_iv_or_nc_candidate"
"contract_005","fed_funds","wealth_share_gap_top10_bottom50",NA,"wealth_share_gap_top1_bottom50","insufficient_candidates","missing_iv_or_nc_candidate"
"contract_006","fed_funds","wealth_share_gap_top1_bottom50",NA,"wealth_share_gap_top10_bottom50","insufficient_candidates","missing_iv_or_nc_candidate"
"contract_007","transfer_composite","poverty_all_q","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_008","transfer_composite","poverty_child_q","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_009","transfer_composite","gini_households_q","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_010","transfer_composite","median_real_income_fred_q","F1","wealth_share_gap_top10_bottom50","ready","screened_pair_available"
"contract_011","transfer_composite","wealth_share_gap_top10_bottom50","F1","wealth_share_gap_top1_bottom50","ready","screened_pair_available"
"contract_012","transfer_composite","wealth_share_gap_top1_bottom50","F1","wealth_share_gap_top10_bottom50","ready","screened_pair_available"
"contract_013","ui_benefits","poverty_all_q","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_014","ui_benefits","poverty_child_q","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_015","ui_benefits","gini_households_q","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_016","ui_benefits","median_real_income_fred_q","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_017","social_security","poverty_all_q","F2",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_018","social_security","poverty_child_q","F2",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_019","social_security","gini_households_q","F2",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_020","social_security","median_real_income_fred_q","F2",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_021","snap_persons","poverty_all_q","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_022","snap_persons","poverty_child_q","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_023","credit_composite","poverty_all_q",NA,"wealth_share_gap_top1_bottom50","insufficient_candidates","missing_iv_or_nc_candidate"
"contract_024","credit_composite","poverty_child_q",NA,"wealth_share_gap_top1_bottom50","insufficient_candidates","missing_iv_or_nc_candidate"
"contract_025","credit_composite","median_real_income_fred_q",NA,"wealth_share_gap_top1_bottom50","insufficient_candidates","missing_iv_or_nc_candidate"
"contract_026","credit_composite","wealth_share_gap_top1_bottom50",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_027","revolving_credit","poverty_all_q","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_028","revolving_credit","poverty_child_q","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_029","cc_delinquency","poverty_all_q",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_030","cc_delinquency","poverty_child_q",NA,NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_031","household_networth","gini_households_q","F1","wealth_share_gap_top1_bottom50","ready","screened_pair_available"
"contract_032","household_networth","wealth_share_gap_top10_bottom50","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_033","household_networth","wealth_share_gap_top1_bottom50","F1",NA,"insufficient_candidates","missing_iv_or_nc_candidate"
"contract_034","home_equity","wealth_share_gap_top10_bottom50","F1","wealth_share_gap_top1_bottom50","ready","screened_pair_available"
"contract_035","home_equity","wealth_share_gap_top1_bottom50","F1","wealth_share_gap_top10_bottom50","ready","screened_pair_available"
